"SITE_ID","YEAR","DATEON","DATEOFF","SO2_CONC","SO4_CONC","NO3_CONC","HNO3_CONC","TNO3_CONC","NH4_CONC","CA_CONC","NA_CONC","MG_CONC","K_CONC","CL_CONC"
"EVE419","2018.0","01/02/2018 09:00:00","01/01/2019 08:00:00","0.376","1.667","1.036","0.264","1.297","0.203","0.502","1.569","0.209","0.127","2.212"
"CAN407","2012.0","01/03/2012 09:00:00","01/01/2013 08:00:00","0.262","0.607","0.258","0.677","0.924","0.225","0.312","0.063","0.039","0.053","0.036"
"MCK231","2014.0","12/31/2013 09:00:00","12/30/2014 08:00:00","1.82","2.448","1.037","1.097","2.116","1.023","0.273","0.098","0.04","0.071","0.05"
"SHE604","2014.0","12/31/2013 09:00:00","12/30/2014 08:00:00","0.309","0.528","0.363","0.399","0.755","0.271","0.141","0.031","0.023","0.031","0.016"
"PNF126","2006.0","01/03/2006 09:00:00","01/02/2007 08:00:00","2.415","3.862","0.216","1.184","1.381","1.068","0.131","0.067","0.028","0.047","0.031"
"WSP144","2018.0","01/02/2018 09:00:00","01/01/2019 08:00:00","0.561","1.073","1.028","0.879","1.893","0.499","0.147","0.281","0.049","0.072","0.219"
"QAK172","2015.0","12/30/2014 09:00:00","12/29/2015 08:00:00","2.675","1.962","0.942","1.121","2.046","0.77","0.359","0.102","0.073","0.061","0.061"
"NEC602","2016.0","12/29/2015 09:00:00","01/03/2017 08:00:00","0.393","0.457","0.229","0.426","0.647","0.177","0.36","0.034","0.022","0.027","0.025"
"CKT136","2005.0","01/04/2005 09:00:00","01/03/2006 08:00:00","7.38","5.497","0.397","2.126","2.49","1.657","0.241","0.06","0.034","0.06","0.033"
"YOS404","2001.0","01/02/2001 09:00:00","01/01/2002 08:00:00","0.423","0.777","0.455","0.909","1.349","0.325","0.117","0.105","0.027","0.048",""
"LAV410","2005.0","01/04/2005 09:00:00","01/03/2006 08:00:00","0.223","0.473","0.123","0.39","0.507","0.167","0.043","0.048","0.013","0.02","0.018"
"VOY413","2006.0","01/03/2006 09:00:00","01/02/2007 08:00:00","0.719","1.11","0.368","0.466","0.827","0.402","0.134","0.033","0.029","0.035","0.02"
"ANA115","2014.0","12/31/2013 09:00:00","12/30/2014 08:00:00","1.618","1.891","1.471","0.889","2.346","0.98","0.267","0.096","0.062","0.066","0.075"
"BFT142","2004.0","12/30/2003 09:00:00","01/04/2005 08:00:00","3.104","4.204","1.16","1.144","2.286","0.964","0.429","0.924","0.13","0.089","0.715"
"MCK231","2011.0","01/04/2011 09:00:00","01/03/2012 08:00:00","2.511","2.969","0.994","1.288","2.261","1.221","0.25","0.11","0.041","0.076","0.058"
"VPI120","2013.0","01/01/2013 09:00:00","12/31/2013 08:00:00","3.322","2.059","0.449","0.896","1.331","0.733","0.158","0.092","0.032","0.052","0.044"
"SAN189","2009.0","12/30/2008 09:00:00","12/29/2009 08:00:00","0.678","1.568","1.512","0.592","2.094","0.79","0.481","0.044","0.069","0.068","0.032"
"YEL408","2007.0","01/02/2007 09:00:00","01/01/2008 08:00:00","0.774","0.533","0.208","0.278","0.482","0.223","0.092","0.023","0.016","0.034","0.014"
"PET427","2018.0","01/02/2018 09:00:00","01/01/2019 08:00:00","0.229","0.447","0.275","0.578","0.843","0.164","0.307","0.079","0.03","0.036","0.043"
"THR422","2005.0","01/04/2005 09:00:00","01/03/2006 08:00:00","1.109","1.037","0.502","0.586","1.079","0.4","0.263","0.054","0.045","0.044","0.017"
"SND152","2005.0","01/04/2005 09:00:00","01/03/2006 08:00:00","5.302","5.149","1.385","1.626","2.985","2.164","0.225","0.115","0.041","0.1","0.056"
"LYK123","2010.0","12/29/2009 09:00:00","01/04/2011 08:00:00","3.172","2.99","2.311","1.454","3.741","1.503","0.465","0.099","0.094","0.108","0.09"
"PSU106","2014.0","12/31/2013 09:00:00","12/30/2014 08:00:00","3.321","2.09","1.228","0.889","2.103","0.987","0.241","0.125","0.038","0.06","0.087"
"PIN414","2008.0","01/01/2008 09:00:00","12/30/2008 08:00:00","0.378","1.111","0.881","0.951","1.816","0.244","0.166","0.631","0.101","0.104","0.472"
"ACA416","2017.0","01/03/2017 09:00:00","01/02/2018 08:00:00","0.513","0.622","0.372","0.271","0.639","0.182","0.059","0.381","0.048","0.043","0.42"
"UND002","2014.0","12/31/2013 09:00:00","12/30/2014 08:00:00","0.601","1.072","0.383","0.439","0.816","0.419","0.107","0.093","0.022","0.036","0.053"
"STK138","2013.0","01/01/2013 09:00:00","12/31/2013 08:00:00","1.153","1.743","2.044","0.764","2.796","1.012","0.658","0.076","0.168","0.066","0.094"
"CVL151","2011.0","01/04/2011 09:00:00","01/03/2012 08:00:00","0.929","2.356","0.499","0.881","1.366","0.764","0.201","0.227","0.046","0.091","0.08"
"ROM406","2000.0","01/04/2000 09:00:00","01/02/2001 08:00:00","0.465","0.641","0.223","0.612","0.825","0.255","0.111","0.027","0.013","0.025",""
"MKG113","2000.0","01/04/2000 09:00:00","01/02/2001 08:00:00","11.307","4.389","1.202","2.217","3.384","1.662","0.234","0.133","0.039","0.076",""
"ROM206","2013.0","01/01/2013 09:00:00","12/31/2013 08:00:00","0.181","0.497","0.191","0.351","0.537","0.202","0.102","0.027","0.015","0.023","0.014"
