State,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
KY,3.5596583014870875,4.404974405886077,4.249191562136805,4.732839542196737,4.294830887045309,5.315487991137655,5.478523281721522,5.196394470719822,5.406011059109804,6.115203317701238
LA,2.71335476304059,2.954726799653079,3.192957122143235,3.212235530346389,3.2135261052622788,3.795609874689817,4.300575700426423,3.9146020122883876,4.2353841109210375,3.5580207594184725
ME,41.015443133603306,37.16137215838258,38.85083731887321,39.637641891506476,40.25657656943956,40.439014547341316,39.36575620729599,39.56157929069893,37.95747673718458,40.84377608560802
MD,4.102569347843875,4.579152478556372,4.900623611630844,5.692076495182385,5.219081439912901,5.6430004530451106,5.539947384976123,5.243672676996698,5.439883281971697,6.149407061117613
MA,4.218103055016767,5.021164740407535,5.305602746376603,5.519135048667795,5.376329104641783,5.775319612439947,6.085464601307007,6.140822405942091,6.544962974482899,7.0102401975692965
MI,5.433873263133198,5.566250272736971,5.807569016462489,6.335671984130857,6.6714869132910355,7.351814007774697,7.67585011321891,8.556435822255198,8.43916452838009,8.719876189964625
MN,9.386421973466133,11.41292907305887,12.24794418421913,13.02194961712027,13.568572230075743,13.166959472809722,14.334132958164753,15.509432781863497,15.598722140607563,16.28125972968714
MS,4.325331179072107,5.112156754097093,6.388772358033637,6.591284567281244,7.766679097731753,6.7473348698426845,6.730823125644044,6.531308704369845,6.641088827778945,6.334514677937837
MO,4.322076599971882,4.989651410513559,5.30716803760282,5.2118243348650255,4.830612516412755,5.379312363377575,5.1907320423220575,5.19787097241393,5.262582868244657,5.8134138590525675
MT,27.46797468631616,27.257300811942507,29.015745400268816,35.58886116636326,32.273058947990336,29.052350986944838,33.976719691569215,32.03301474826997,32.741989981773834,33.3463902400809
NE,10.653679419844913,11.165292237847444,14.994637808326022,16.927835433568717,15.779484385709013,15.968542591030765,16.962323823883644,18.862601204202647,19.04370898755548,21.531321658359197
NV,6.3830733305411,8.32757609533372,8.731560228854182,9.171919594275508,9.968865385818887,11.237531550334918,11.511746649425357,13.087945862463885,14.659554227691169,15.519494586370994
NH,14.472750190732079,16.747039300372162,17.22969562788945,17.614517384974775,17.602558130575336,19.430808712245838,19.784949682712647,21.471352264571568,20.533775475499045,20.89668456210811
NJ,1.9545072583318557,2.798572645347379,3.0780011278070787,3.075435522111123,3.448829201897885,3.7160005273497867,3.870254409372641,3.5553107890611453,3.8567900096728094,4.043598291342408
NM,5.414509912706798,5.160643691857037,6.177124182004168,6.522248226093468,6.803442778197337,6.91802423112768,7.083073079325422,7.193521067118357,9.623511818491282,11.422450063732857
NY,11.065082374291396,11.078153612225691,10.896657415384022,12.199090151457947,11.473986266603287,11.526819527645802,11.696823402814013,11.990866255271314,12.3318174528595,13.352119579866272
NC,6.19605021022214,7.035661880879901,7.043204579242405,7.337419579034455,7.497995977892471,8.998652606058505,8.134318806819264,8.16065456593824,8.727980365674785,9.709527360392244
ND,9.79034511934149,14.770546252772638,18.21154548009682,20.047041145901172,18.517648758986958,16.99206168133992,17.775775937186996,18.52939687867859,21.89404874091923,25.957870477360288
